Time,Category,Message,Status,Flag,Scope,Sector,Lap,Year,RoundNumber
2023-03-05 16:10:19,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,41,2023,1
2023-03-05 16:11:55,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,42,2023,1
2023-03-19 17:31:10,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,18,2023,2
2023-03-19 17:36:10,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,20,2023,2
2023-04-02 05:04:27,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,1,2023,3
2023-04-02 05:07:27,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,3,2023,3
2023-04-02 05:14:24,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,7,2023,3
2023-04-02 05:48:36,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,18,2023,3
2023-04-02 05:50:38,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,19,2023,3
2023-04-02 06:38:32,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,54,2023,3
2023-04-02 07:34:06,Other,SAFETY CAR WILL ENTER PITS: ROLLING START PROCEDURE,,,,,58,2023,3
2023-04-30 11:22:24,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,11,2023,4
2023-04-30 11:28:42,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,13,2023,4
2023-06-18 18:12:28,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,8,2023,8
2023-06-18 18:13:02,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,8,2023,8
2023-06-18 18:18:44,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,12,2023,8
2023-06-18 18:25:48,Other,"PIT EXIT INCIDENT INVOLVING CARS 31 (OCO), 77 (BOT) AND 20 (MAG) NOTED - OVERTAKING UNDER SAFETY CAR",,,,,16,2023,8
2023-06-18 18:26:11,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,16,2023,8
2023-07-02 13:03:56,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,1,2023,9
2023-07-02 13:05:02,SafetyCar,SAFETY CAR THROUGH THE PIT LANE,THROUGH THE PIT LANE,,,,2,2023,9
2023-07-02 13:06:44,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,3,2023,9
2023-07-02 13:20:53,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,14,2023,9
2023-07-02 13:23:00,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,16,2023,9
2023-07-09 14:52:54,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,33,2023,10
2023-07-09 14:54:18,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,33,2023,10
2023-07-09 15:05:22,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,38,2023,10
2023-08-27 13:26:04,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,16,2023,13
2023-08-27 13:34:57,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,21,2023,13
2023-08-27 14:30:29,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,64,2023,13
2023-08-27 15:09:49,Other,THE SAFETY CAR WILL STAY OUT FOR 2 LAPS ,,,,,65,2023,13
2023-08-27 15:17:24,Other,SAFETY CAR WILL ENTER PITS: ROLLING START PROCEDURE,,,,,66,2023,13
2023-09-17 12:36:41,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,20,2023,15
