Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Year,RoundNumber
0 days 01:04:04.671000,HUL,27,0 days 00:02:10.911000,2.0,2.0,0 days 01:02:28.664000,,0 days 00:01:04.092000,0 days 00:00:42.838000,0 days 00:00:23.981000,0 days 01:02:57.878000,0 days 01:03:40.716000,0 days 01:04:04.697000,231.0,235.0,277.0,212.0,False,HARD,1.0,True,Haas F1 Team,0 days 01:01:53.760000,,1,20.0,,,False,False,2024,1
0 days 01:33:28.348000,HUL,27,0 days 00:01:40.798000,20.0,2.0,,0 days 01:33:26.755000,0 days 00:00:31.287000,0 days 00:00:42.578000,0 days 00:00:26.933000,0 days 01:32:18.863000,0 days 01:33:01.441000,0 days 01:33:28.374000,231.0,254.0,,304.0,False,HARD,19.0,True,Haas F1 Team,0 days 01:31:47.550000,,1,19.0,,,False,False,2024,1
0 days 01:35:27.047000,HUL,27,0 days 00:01:58.699000,21.0,3.0,0 days 01:33:51.368000,,0 days 00:00:51.920000,0 days 00:00:42.869000,0 days 00:00:23.910000,0 days 01:34:20.294000,0 days 01:35:03.163000,0 days 01:35:27.073000,229.0,236.0,279.0,215.0,False,HARD,1.0,True,Haas F1 Team,0 days 01:33:28.348000,,1,19.0,,,False,False,2024,1
0 days 02:07:49.567000,HUL,27,0 days 00:01:39.569000,41.0,3.0,,0 days 02:07:47.947000,0 days 00:00:30.889000,0 days 00:00:42.038000,0 days 00:00:26.642000,0 days 02:06:40.913000,0 days 02:07:22.951000,0 days 02:07:49.593000,236.0,259.0,,304.0,False,HARD,21.0,True,Haas F1 Team,0 days 02:06:09.998000,,1,15.0,,,False,False,2024,1
0 days 02:09:45.675000,HUL,27,0 days 00:01:56.108000,42.0,4.0,0 days 02:08:12.280000,,0 days 00:00:50.894000,0 days 00:00:41.664000,0 days 00:00:23.550000,0 days 02:08:40.487000,0 days 02:09:22.151000,0 days 02:09:45.701000,233.0,248.0,282.0,221.0,False,SOFT,2.0,False,Haas F1 Team,0 days 02:07:49.567000,,1,18.0,,,False,False,2024,1
0 days 01:16:40.394000,OCO,31,0 days 00:01:41.642000,10.0,1.0,,0 days 01:16:38.837000,0 days 00:00:31.308000,0 days 00:00:42.956000,0 days 00:00:27.378000,0 days 01:15:30.060000,0 days 01:16:13.016000,0 days 01:16:40.394000,229.0,253.0,,312.0,False,SOFT,10.0,True,Alpine,0 days 01:14:58.752000,,12,16.0,,,False,False,2024,1
0 days 01:18:39.408000,OCO,31,0 days 00:01:59.014000,11.0,2.0,0 days 01:17:03.528000,,0 days 00:00:52.676000,0 days 00:00:42.347000,0 days 00:00:23.991000,0 days 01:17:33.070000,0 days 01:18:15.417000,0 days 01:18:39.408000,229.0,253.0,275.0,215.0,False,HARD,1.0,True,Alpine,0 days 01:16:40.394000,,1,18.0,,,False,False,2024,1
0 days 01:49:49.891000,OCO,31,0 days 00:01:41.210000,30.0,2.0,,0 days 01:49:48.158000,0 days 00:00:31.546000,0 days 00:00:42.700000,0 days 00:00:26.964000,0 days 01:48:40.227000,0 days 01:49:22.927000,0 days 01:49:49.891000,232.0,254.0,,291.0,False,HARD,20.0,True,Alpine,0 days 01:48:08.681000,,1,14.0,,,False,False,2024,1
0 days 01:51:49.213000,OCO,31,0 days 00:01:59.322000,31.0,3.0,0 days 01:50:13.288000,,0 days 00:00:52.935000,0 days 00:00:42.397000,0 days 00:00:23.990000,0 days 01:50:42.826000,0 days 01:51:25.223000,0 days 01:51:49.213000,230.0,251.0,277.0,215.0,False,HARD,1.0,True,Alpine,0 days 01:49:49.891000,,1,18.0,,,False,False,2024,1
0 days 01:19:58.372000,GAS,10,0 days 00:01:41.456000,12.0,1.0,,0 days 01:19:56.823000,0 days 00:00:31.328000,0 days 00:00:42.787000,0 days 00:00:27.341000,0 days 01:18:48.255000,0 days 01:19:31.042000,0 days 01:19:58.383000,230.0,252.0,,301.0,False,SOFT,12.0,True,Alpine,0 days 01:18:16.916000,,1,12.0,,,False,False,2024,1
