Year,RoundNumber,EventName,DriverNumber,Abbreviation,FullName,LapNumber,PitInTime,PitStopDuration,Compound,TyreLife,NextCompound
2018,2,Bahrain Grand Prix,55,SAI,SAI,26.0,0 days 00:51:31.334000,,SUPERSOFT,13.0,
2018,2,Bahrain Grand Prix,7,RAI,RAI,18.0,0 days 00:39:09.635000,,SUPERSOFT,20.0,
2018,2,Bahrain Grand Prix,7,RAI,RAI,34.0,0 days 01:04:49.266000,,SOFT,15.0,
2018,2,Bahrain Grand Prix,77,BOT,BOT,19.0,0 days 00:40:40.566000,,SUPERSOFT,21.0,
2018,2,Bahrain Grand Prix,8,GRO,GRO,18.0,0 days 00:38:12.553000,,SUPERSOFT,17.0,
2018,2,Bahrain Grand Prix,8,GRO,GRO,30.0,0 days 00:57:55.840000,,SOFT,12.0,
2018,2,Bahrain Grand Prix,8,GRO,GRO,45.0,0 days 01:22:26.202000,,SUPERSOFT,15.0,
2018,2,Bahrain Grand Prix,9,ERI,ERI,23.0,0 days 00:46:22.851000,,SOFT,22.0,
2018,3,Chinese Grand Prix,3,RIC,RIC,17.0,0 days 00:35:57,,ULTRASOFT,19.0,
2018,3,Chinese Grand Prix,3,RIC,RIC,31.0,0 days 00:59:16.271000,,ULTRASOFT,33.0,
2018,3,Chinese Grand Prix,77,BOT,BOT,19.0,0 days 00:39:02.708000,,SOFT,21.0,
2018,3,Chinese Grand Prix,7,RAI,RAI,27.0,0 days 00:52:28.609000,,SOFT,29.0,
2018,3,Chinese Grand Prix,44,HAM,HAM,18.0,0 days 00:37:34.060000,,SOFT,20.0,
2018,3,Chinese Grand Prix,33,VER,VER,17.0,0 days 00:35:50.381000,,ULTRASOFT,19.0,
2018,3,Chinese Grand Prix,33,VER,VER,31.0,0 days 00:59:06.552000,,ULTRASOFT,33.0,
2018,3,Chinese Grand Prix,27,HUL,HUL,13.0,0 days 00:29:30.881000,,ULTRASOFT,15.0,
2018,3,Chinese Grand Prix,27,HUL,HUL,31.0,0 days 01:00:04.884000,,ULTRASOFT,33.0,
2018,3,Chinese Grand Prix,14,ALO,ALO,29.0,0 days 00:56:24.955000,,SOFT,28.0,
2018,3,Chinese Grand Prix,5,VET,VET,20.0,0 days 00:40:39.076000,,SOFT,21.0,
2018,3,Chinese Grand Prix,55,SAI,SAI,12.0,0 days 00:27:54.195000,,ULTRASOFT,14.0,
2018,3,Chinese Grand Prix,55,SAI,SAI,31.0,0 days 01:00:18.322000,,ULTRASOFT,33.0,
2018,3,Chinese Grand Prix,20,MAG,MAG,24.0,0 days 00:47:58.343000,,SOFT,27.0,
2018,3,Chinese Grand Prix,31,OCO,OCO,11.0,0 days 00:26:19.295000,,SOFT,10.0,
2018,3,Chinese Grand Prix,31,OCO,OCO,31.0,0 days 01:00:24.436000,,SOFT,30.0,
2018,3,Chinese Grand Prix,11,PER,PER,12.0,0 days 00:28:06.016000,,ULTRASOFT,14.0,
2018,3,Chinese Grand Prix,11,PER,PER,32.0,0 days 01:02:44.678000,,ULTRASOFT,34.0,
2018,3,Chinese Grand Prix,2,VAN,VAN,22.0,0 days 00:44:55.471000,,SOFT,21.0,
2018,3,Chinese Grand Prix,18,STR,STR,23.0,0 days 00:46:35.303000,,SOFT,22.0,
2018,3,Chinese Grand Prix,35,SIR,SIR,28.0,0 days 00:55:08.823000,,SOFT,27.0,
2018,3,Chinese Grand Prix,35,SIR,SIR,33.0,0 days 01:05:07.877000,,SOFT,32.0,
