Season,Round,Race,Timestamp,Category,Status,Flag,Scope,Sector,LapNumber,DriverNumber,Message
2020,15,Bahrain Grand Prix,2020-11-29 14:15:01,SafetyCar,THROUGH THE PIT LANE,,,,1,,SAFETY CAR THROUGH THE PIT LANE
2020,15,Bahrain Grand Prix,2020-11-29 15:36:05,Other,,,,,2,,SAFETY CAR WILL ENTER PITS: STANDING START
2020,15,Bahrain Grand Prix,2020-11-29 15:40:18,SafetyCar,DEPLOYED,,,,3,,SAFETY CAR DEPLOYED
2020,15,Bahrain Grand Prix,2020-11-29 15:51:57,SafetyCar,IN THIS LAP,,,,8,,SAFETY CAR IN THIS LAP
2020,15,Bahrain Grand Prix,2020-11-29 17:06:35,SafetyCar,DEPLOYED,,,,55,,SAFETY CAR DEPLOYED
