Season,Round,Race,Timestamp,Category,Status,Flag,Scope,Sector,LapNumber,DriverNumber,Message
2020,7,Belgian Grand Prix,2020-08-30 13:32:19,SafetyCar,DEPLOYED,,,,11,,SAFETY CAR DEPLOYED
2020,7,Belgian Grand Prix,2020-08-30 13:41:44,SafetyCar,IN THIS LAP,,,,14,,SAFETY CAR IN THIS LAP
