Season,Round,Race,Timestamp,Category,Status,Flag,Scope,Sector,LapNumber,DriverNumber,Message
2020,2,Styrian Grand Prix,2020-07-12 13:13:54,SafetyCar,DEPLOYED,,,,1,,SAFETY CAR DEPLOYED
2020,2,Styrian Grand Prix,2020-07-12 13:16:39,SafetyCar,IN THIS LAP,,,,3,,SAFETY CAR IN THIS LAP
