Season,Round,Race,Timestamp,Category,Status,Flag,Scope,Sector,LapNumber,DriverNumber,Message
2020,4,British Grand Prix,2020-08-02 13:15:21,SafetyCar,DEPLOYED,,,,2,,SAFETY CAR DEPLOYED
2020,4,British Grand Prix,2020-08-02 13:23:03,SafetyCar,IN THIS LAP,,,,5,,SAFETY CAR IN THIS LAP
2020,4,British Grand Prix,2020-08-02 13:35:06,SafetyCar,DEPLOYED,,,,13,,SAFETY CAR DEPLOYED
2020,4,British Grand Prix,2020-08-02 13:49:10,SafetyCar,IN THIS LAP,,,,18,,SAFETY CAR IN THIS LAP
2020,4,British Grand Prix,2020-08-02 14:09:16,Other,,,,,31,,INCIDENT INVOLVING CAR 99 (GIO) UNDER INVESTIGATION - SAFETY CAR INFRINGEMENT
2020,4,British Grand Prix,2020-08-02 14:15:22,Other,,,,,35,,5 SECOND TIME PENALTY FOR CAR 99 (GIO) - SAFETY CAR INFRINGEMENT
