Season,Round,Race,Timestamp,Category,Status,Flag,Scope,Sector,LapNumber,DriverNumber,Message
2020,14,Turkish Grand Prix,2020-11-15 10:38:01,SafetyCar,DEPLOYED,,,,13,,VIRTUAL SAFETY CAR DEPLOYED
2020,14,Turkish Grand Prix,2020-11-15 10:40:59,SafetyCar,ENDING,,,,15,,VIRTUAL SAFETY CAR ENDING
