Season,Round,Race,Timestamp,Category,Status,Flag,Scope,Sector,LapNumber,DriverNumber,Message
2020,16,Sakhir Grand Prix,2020-12-06 17:13:24,SafetyCar,DEPLOYED,,,,1,,SAFETY CAR DEPLOYED
2020,16,Sakhir Grand Prix,2020-12-06 17:20:29,SafetyCar,IN THIS LAP,,,,6,,SAFETY CAR IN THIS LAP
2020,16,Sakhir Grand Prix,2020-12-06 18:08:54,SafetyCar,DEPLOYED,,,,55,,VIRTUAL SAFETY CAR DEPLOYED
2020,16,Sakhir Grand Prix,2020-12-06 18:09:36,SafetyCar,ENDING,,,,56,,VIRTUAL SAFETY CAR ENDING
2020,16,Sakhir Grand Prix,2020-12-06 18:15:18,SafetyCar,DEPLOYED,,,,62,,VIRTUAL SAFETY CAR DEPLOYED
2020,16,Sakhir Grand Prix,2020-12-06 18:16:19,SafetyCar,DEPLOYED,,,,62,,SAFETY CAR DEPLOYED
2020,16,Sakhir Grand Prix,2020-12-06 18:24:53,SafetyCar,IN THIS LAP,,,,68,,SAFETY CAR IN THIS LAP
