Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,Year,RoundNumber
0.0,Other,PIT EXIT CLOSED,,,,,,,2019,1
901.0,Other,RISK OF RAIN FOR THIS SESSION IS 0%,,,,,,1.0,2019,1
1620.0,Drs,DRS DISABLED,DISABLED,,,,,1.0,2019,1
2009.0,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1.0,2019,1
2043.0,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,,1.0,2019,1
2086.0,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,1.0,2019,1
2180.0,Drs,DRS ENABLED,ENABLED,,,,,2.0,2019,1
2848.0,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:27:32,,BLUE,Driver,,88.0,10.0,2019,1
2889.0,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:28:13,,BLUE,Driver,,88.0,10.0,2019,1
2938.0,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:29:01,,BLUE,Driver,,88.0,11.0,2019,1
2952.0,Other,CAR 55 (SAI) STOPPED AT PIT ENTRY,,,,,,11.0,2019,1
2955.0,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:29:18,,BLUE,Driver,,88.0,11.0,2019,1
3098.0,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:31:41,,BLUE,Driver,,88.0,13.0,2019,1
3262.0,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:34:25,,BLUE,Driver,,88.0,15.0,2019,1
3321.0,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:35:24,,BLUE,Driver,,88.0,15.0,2019,1
3350.0,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:35:54,,BLUE,Driver,,88.0,16.0,2019,1
3526.0,Flag,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:38:50,,BLUE,Driver,,3.0,18.0,2019,1
3561.0,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:39:24,,BLUE,Driver,,88.0,18.0,2019,1
3873.0,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:44:36,,BLUE,Driver,,88.0,21.0,2019,1
3893.0,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:44:57,,BLUE,Driver,,88.0,22.0,2019,1
3902.0,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 16:45:05,,BLUE,Driver,,63.0,22.0,2019,1
3924.0,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:45:28,,BLUE,Driver,,88.0,22.0,2019,1
4023.0,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:47:06,,BLUE,Driver,,88.0,23.0,2019,1
4060.0,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:47:44,,BLUE,Driver,,88.0,23.0,2019,1
4399.0,Flag,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:53:22,,BLUE,Driver,,3.0,27.0,2019,1
4680.0,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 16:58:04,,BLUE,Driver,,88.0,30.0,2019,1
