Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Year,RoundNumber
0 days 01:15:49.358000,VER,1,,2.0,1.0,,0 days 01:15:38.205000,0 days 00:00:58.141000,0 days 00:00:37.976000,0 days 00:01:13.205000,0 days 01:13:58.233000,0 days 01:14:36.257000,0 days 01:15:49.446000,66.0,222.0,,210.0,False,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 01:13:00.002000,,4,2.0,,,False,False,2025,1
0 days 01:18:31.526000,VER,1,,3.0,2.0,0 days 01:15:51.658000,0 days 01:18:20.223000,0 days 00:00:56.230000,0 days 00:00:33.683000,0 days 00:01:12.232000,0 days 01:16:45.667000,0 days 01:17:19.489000,0 days 01:18:31.643000,78.0,203.0,,180.0,False,INTERMEDIATE,3.0,False,Red Bull Racing,0 days 01:15:49.358000,,4,2.0,,,False,False,2025,1
0 days 01:21:07.226000,VER,1,,4.0,3.0,0 days 01:18:34.029000,0 days 01:20:56.543000,0 days 00:00:54.351000,0 days 00:00:32.712000,0 days 00:01:08.712000,0 days 01:19:26.041000,0 days 01:19:58.680000,0 days 01:21:07.378000,103.0,240.0,,187.0,False,INTERMEDIATE,4.0,False,Red Bull Racing,0 days 01:18:31.526000,,4,2.0,,,False,False,2025,1
0 days 01:23:30.835000,VER,1,0 days 00:02:23.609000,5.0,4.0,0 days 01:21:09.534000,,0 days 00:00:53.513000,0 days 00:00:32.627000,0 days 00:00:57.469000,0 days 01:22:00.795000,0 days 01:22:33.422000,0 days 01:23:30.891000,79.0,130.0,237.0,194.0,False,INTERMEDIATE,5.0,False,Red Bull Racing,0 days 01:21:07.226000,,4,2.0,,,False,False,2025,1
0 days 02:09:41.123000,VER,1,0 days 00:02:08.598000,34.0,4.0,,0 days 02:09:24.559000,0 days 00:00:38.569000,0 days 00:00:29.499000,0 days 00:01:00.530000,0 days 02:08:11.150000,0 days 02:08:40.649000,0 days 02:09:41.179000,193.0,276.0,,288.0,False,INTERMEDIATE,34.0,False,Red Bull Racing,0 days 02:07:32.525000,,24,3.0,,,False,False,2025,1
0 days 02:11:45.631000,VER,1,0 days 00:02:04.508000,35.0,5.0,0 days 02:09:43.218000,,0 days 00:00:46.794000,0 days 00:00:27.330000,0 days 00:00:50.384000,0 days 02:10:27.973000,0 days 02:10:55.303000,0 days 02:11:45.687000,241.0,275.0,253.0,177.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 02:09:41.123000,,4,3.0,,,False,False,2025,1
0 days 02:32:59.592000,VER,1,0 days 00:01:52.606000,46.0,5.0,,0 days 02:32:42.968000,0 days 00:00:31.037000,0 days 00:00:19.186000,0 days 00:01:02.383000,0 days 02:31:38.079000,0 days 02:31:57.265000,0 days 02:32:59.648000,268.0,287.0,,266.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 02:31:06.986000,,1,5.0,,,False,False,2025,1
0 days 02:35:06.805000,VER,1,0 days 00:02:07.213000,47.0,6.0,0 days 02:33:01.788000,,0 days 00:00:40.700000,0 days 00:00:31.560000,0 days 00:00:54.953000,0 days 02:33:40.348000,0 days 02:34:11.908000,0 days 02:35:06.861000,249.0,227.0,257.0,224.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 02:32:59.592000,,124,2.0,,,False,False,2025,1
0 days 01:16:06.103000,GAS,10,,2.0,1.0,,0 days 01:15:53.611000,0 days 00:00:55.855000,0 days 00:00:35.135000,0 days 00:01:20.320000,0 days 01:14:10.867000,0 days 01:14:45.842000,0 days 01:16:06.234000,62.0,163.0,,195.0,False,INTERMEDIATE,2.0,True,Alpine,0 days 01:13:14.728000,,4,9.0,,,False,False,2025,1
0 days 01:18:49.068000,GAS,10,,3.0,2.0,0 days 01:16:08.591000,0 days 01:18:36.076000,0 days 00:00:50.510000,0 days 00:00:36.049000,0 days 00:01:16.333000,0 days 01:16:56.745000,0 days 01:17:32.821000,0 days 01:18:49.127000,54.0,130.0,,189.0,False,INTERMEDIATE,3.0,False,Alpine,0 days 01:16:06.103000,,4,9.0,,,False,False,2025,1
0 days 01:21:23.515000,GAS,10,,4.0,3.0,0 days 01:18:51.914000,0 days 01:21:12.398000,0 days 00:00:50.360000,0 days 00:00:32.205000,0 days 00:01:12.024000,0 days 01:19:39.451000,0 days 01:20:11.612000,0 days 01:21:23.780000,89.0,279.0,,194.0,False,INTERMEDIATE,4.0,False,Alpine,0 days 01:18:49.068000,,4,9.0,,,False,False,2025,1
0 days 01:23:44.875000,GAS,10,0 days 00:02:21.360000,5.0,4.0,0 days 01:21:27.130000,,0 days 00:00:51.180000,0 days 00:00:30.446000,0 days 00:00:59.734000,0 days 01:22:14.754000,0 days 01:22:45.200000,0 days 01:23:44.934000,116.0,284.0,198.0,204.0,False,INTERMEDIATE,5.0,False,Alpine,0 days 01:21:23.515000,,4,9.0,,,False,False,2025,1
0 days 02:08:35.425000,GAS,10,0 days 00:01:51.300000,33.0,4.0,,0 days 02:08:17.990000,0 days 00:00:31.296000,0 days 00:00:18.975000,0 days 00:01:01.029000,0 days 02:07:15.480000,0 days 02:07:34.455000,0 days 02:08:35.484000,263.0,298.0,,284.0,False,INTERMEDIATE,33.0,False,Alpine,0 days 02:06:44.125000,,124,9.0,,,False,False,2025,1
0 days 02:11:00.474000,GAS,10,0 days 00:02:25.049000,34.0,5.0,0 days 02:08:37.599000,,0 days 00:00:53.338000,0 days 00:00:42.356000,0 days 00:00:49.355000,0 days 02:09:28.822000,0 days 02:10:11.178000,0 days 02:11:00.533000,107.0,119.0,268.0,162.0,False,HARD,1.0,True,Alpine,0 days 02:08:35.425000,,4,9.0,,,False,False,2025,1
0 days 02:33:12.621000,GAS,10,0 days 00:01:56.069000,46.0,5.0,,0 days 02:32:55.194000,0 days 00:00:33.157000,0 days 00:00:18.982000,0 days 00:01:03.930000,0 days 02:31:49.768000,0 days 02:32:08.750000,0 days 02:33:12.680000,262.0,292.0,,262.0,False,HARD,13.0,True,Alpine,0 days 02:31:16.552000,,1,11.0,,,False,False,2025,1
0 days 02:35:19.361000,GAS,10,0 days 00:02:06.740000,47.0,6.0,0 days 02:33:14.929000,,0 days 00:00:45.479000,0 days 00:00:24.021000,0 days 00:00:57.240000,0 days 02:33:58.159000,0 days 02:34:22.180000,0 days 02:35:19.420000,226.0,212.0,266.0,221.0,False,INTERMEDIATE,1.0,True,Alpine,0 days 02:33:12.621000,,124,8.0,,,False,False,2025,1
0 days 01:16:12.898000,ANT,12,,2.0,1.0,,0 days 01:16:01.429000,0 days 00:00:55.459000,0 days 00:00:32.481000,0 days 00:01:21.860000,0 days 01:14:18.601000,0 days 01:14:51.238000,0 days 01:16:13.028000,78.0,167.0,,145.0,False,INTERMEDIATE,2.0,True,Mercedes,0 days 01:13:22.976000,,4,13.0,,,False,False,2025,1
0 days 01:18:57.575000,ANT,12,,3.0,2.0,0 days 01:16:16.265000,0 days 01:18:43.529000,0 days 00:00:51.498000,0 days 00:00:33.080000,0 days 00:01:20.177000,0 days 01:17:04.362000,0 days 01:17:37.551000,0 days 01:18:57.746000,97.0,123.0,,177.0,False,INTERMEDIATE,3.0,False,Mercedes,0 days 01:16:12.898000,,4,13.0,,,False,False,2025,1
0 days 01:21:32.097000,ANT,12,,4.0,3.0,0 days 01:18:59.964000,0 days 01:21:21.148000,0 days 00:00:49.814000,0 days 00:00:32.851000,0 days 00:01:11.933000,0 days 01:19:47.390000,0 days 01:20:20.290000,0 days 01:21:32.318000,81.0,156.0,,196.0,False,INTERMEDIATE,4.0,False,Mercedes,0 days 01:18:57.575000,,4,13.0,,,False,False,2025,1
0 days 01:23:51.260000,ANT,12,0 days 00:02:19.163000,5.0,4.0,0 days 01:21:35.283000,,0 days 00:00:49.979000,0 days 00:00:30.052000,0 days 00:00:59.132000,0 days 01:22:22.120000,0 days 01:22:52.172000,0 days 01:23:51.304000,125.0,274.0,193.0,187.0,False,INTERMEDIATE,5.0,False,Mercedes,0 days 01:21:32.097000,,4,13.0,,,False,False,2025,1
0 days 02:08:39.832000,ANT,12,0 days 00:01:52.635000,33.0,4.0,,0 days 02:08:23.095000,0 days 00:00:31.156000,0 days 00:00:19.488000,0 days 00:01:01.991000,0 days 02:07:18.397000,0 days 02:07:37.885000,0 days 02:08:39.876000,268.0,302.0,,290.0,False,INTERMEDIATE,33.0,False,Mercedes,0 days 02:06:47.197000,,124,10.0,,,False,False,2025,1
0 days 02:11:02.428000,ANT,12,0 days 00:02:22.596000,34.0,5.0,0 days 02:08:42.155000,,0 days 00:00:50.260000,0 days 00:00:41.918000,0 days 00:00:50.418000,0 days 02:09:30.136000,0 days 02:10:12.054000,0 days 02:11:02.472000,144.0,130.0,279.0,175.0,False,HARD,1.0,True,Mercedes,0 days 02:08:39.832000,,4,10.0,,,False,False,2025,1
0 days 02:30:03.891000,ANT,12,0 days 00:01:48.276000,44.0,5.0,,0 days 02:29:44.044000,0 days 00:00:29.991000,0 days 00:00:18.732000,0 days 00:00:59.553000,0 days 02:28:45.650000,0 days 02:29:04.382000,0 days 02:30:03.935000,264.0,298.0,,292.0,False,HARD,11.0,True,Mercedes,0 days 02:28:15.615000,,12,11.0,,,False,False,2025,1
0 days 02:31:39.484000,ANT,12,0 days 00:01:35.593000,45.0,6.0,0 days 02:30:06.012000,,0 days 00:00:37.157000,0 days 00:00:19.091000,0 days 00:00:39.345000,0 days 02:30:41.092000,0 days 02:31:00.183000,0 days 02:31:39.528000,263.0,291.0,299.0,223.0,False,INTERMEDIATE,1.0,True,Mercedes,0 days 02:30:03.891000,,21,11.0,,,False,False,2025,1
0 days 01:16:07.295000,ALO,14,,2.0,1.0,,0 days 01:15:54.830000,0 days 00:00:55.076000,0 days 00:00:34.640000,0 days 00:01:19.692000,0 days 01:14:13.051000,0 days 01:14:47.658000,0 days 01:16:07.421000,80.0,132.0,,185.0,False,INTERMEDIATE,2.0,True,Aston Martin,0 days 01:13:17.788000,,4,10.0,,,False,False,2025,1
0 days 01:18:50.610000,ALO,14,,3.0,2.0,0 days 01:16:10.400000,0 days 01:18:37.191000,0 days 00:00:52.882000,0 days 00:00:33.441000,0 days 00:01:17.022000,0 days 01:17:00.313000,0 days 01:17:33.756000,0 days 01:18:50.665000,80.0,116.0,,168.0,False,INTERMEDIATE,3.0,False,Aston Martin,0 days 01:16:07.295000,,4,10.0,,,False,False,2025,1
0 days 01:21:25.229000,ALO,14,,4.0,3.0,0 days 01:18:53.529000,0 days 01:21:13.968000,0 days 00:00:52.331000,0 days 00:00:32.068000,0 days 00:01:10.307000,0 days 01:19:43.042000,0 days 01:20:15.106000,0 days 01:21:25.474000,121.0,255.0,,179.0,False,INTERMEDIATE,4.0,False,Aston Martin,0 days 01:18:50.610000,,4,10.0,,,False,False,2025,1
0 days 01:23:47.410000,ALO,14,0 days 00:02:22.181000,5.0,4.0,0 days 01:21:29.030000,,0 days 00:00:52.318000,0 days 00:00:29.721000,0 days 00:01:00.142000,0 days 01:22:17.602000,0 days 01:22:47.323000,0 days 01:23:47.465000,121.0,273.0,176.0,185.0,False,INTERMEDIATE,5.0,False,Aston Martin,0 days 01:21:25.229000,,4,10.0,,,False,False,2025,1
0 days 01:15:56.324000,LEC,16,,2.0,1.0,,0 days 01:15:44.366000,0 days 00:00:55.101000,0 days 00:00:36.092000,0 days 00:01:16.040000,0 days 01:14:04.519000,0 days 01:14:40.314000,0 days 01:15:56.518000,67.0,200.0,,218.0,False,INTERMEDIATE,2.0,True,Ferrari,0 days 01:13:09.163000,,4,5.0,,,False,False,2025,1
0 days 01:18:38.523000,LEC,16,,3.0,2.0,0 days 01:15:58.544000,0 days 01:18:26.003000,0 days 00:00:54.771000,0 days 00:00:32.738000,0 days 00:01:14.652000,0 days 01:16:51.301000,0 days 01:17:23.901000,0 days 01:18:38.572000,46.0,206.0,,185.0,False,INTERMEDIATE,3.0,False,Ferrari,0 days 01:15:56.324000,,4,5.0,,,False,False,2025,1
0 days 01:21:14.268000,LEC,16,,4.0,3.0,0 days 01:18:40.624000,0 days 01:21:02.246000,0 days 00:00:52.602000,0 days 00:00:32.053000,0 days 00:01:11.147000,0 days 01:19:31.290000,0 days 01:20:03.221000,0 days 01:21:14.426000,98.0,260.0,,150.0,False,INTERMEDIATE,4.0,False,Ferrari,0 days 01:18:38.523000,,4,5.0,,,False,False,2025,1
0 days 01:23:36.865000,LEC,16,0 days 00:02:22.597000,5.0,4.0,0 days 01:21:16.471000,,0 days 00:00:51.208000,0 days 00:00:31.916000,0 days 00:00:59.473000,0 days 01:22:05.506000,0 days 01:22:37.422000,0 days 01:23:36.895000,99.0,259.0,223.0,197.0,False,INTERMEDIATE,5.0,False,Ferrari,0 days 01:21:14.268000,,4,5.0,,,False,False,2025,1
0 days 02:10:11.057000,LEC,16,0 days 00:02:13.905000,34.0,4.0,,0 days 02:09:55.018000,0 days 00:00:41.463000,0 days 00:00:27.483000,0 days 00:01:04.959000,0 days 02:08:38.645000,0 days 02:09:06.128000,0 days 02:10:11.087000,144.0,194.0,,197.0,False,INTERMEDIATE,34.0,False,Ferrari,0 days 02:07:57.152000,,4,5.0,,,False,False,2025,1
0 days 02:12:17.929000,LEC,16,0 days 00:02:06.872000,35.0,5.0,0 days 02:10:13.161000,,0 days 00:00:47.333000,0 days 00:00:29.541000,0 days 00:00:49.998000,0 days 02:10:58.420000,0 days 02:11:27.961000,0 days 02:12:17.959000,224.0,272.0,267.0,180.0,False,HARD,2.0,False,Ferrari,0 days 02:10:11.057000,,4,5.0,,,False,False,2025,1
0 days 02:35:29.215000,LEC,16,,47.0,5.0,,0 days 02:35:06.901000,0 days 00:00:41.619000,0 days 00:00:31.863000,0 days 00:01:18.975000,0 days 02:33:38.561000,0 days 02:34:10.498000,0 days 02:35:29.362000,227.0,187.0,,218.0,False,HARD,14.0,False,Ferrari,0 days 02:32:56.733000,,124,10.0,,,False,False,2025,1
0 days 02:37:25.259000,LEC,16,0 days 00:01:56.044000,48.0,6.0,0 days 02:35:31.368000,,0 days 00:00:42.860000,0 days 00:00:21.823000,0 days 00:00:51.361000,0 days 02:36:12.105000,0 days 02:36:33.928000,0 days 02:37:25.289000,247.0,261.0,239.0,208.0,False,INTERMEDIATE,1.0,True,Ferrari,0 days 02:35:29.215000,,4,10.0,,,False,False,2025,1
0 days 01:16:09.657000,STR,18,,2.0,1.0,,0 days 01:15:57.307000,0 days 00:00:54.693000,0 days 00:00:34.276000,0 days 00:01:20.512000,0 days 01:14:14.927000,0 days 01:14:49.274000,0 days 01:16:09.738000,95.0,121.0,,187.0,False,INTERMEDIATE,2.0,True,Aston Martin,0 days 01:13:20.053000,,4,11.0,,,False,False,2025,1
0 days 01:18:53.621000,STR,18,,3.0,2.0,0 days 01:16:13.028000,0 days 01:18:40.020000,0 days 00:00:51.700000,0 days 00:00:33.597000,0 days 00:01:18.641000,0 days 01:17:01.441000,0 days 01:17:35.129000,0 days 01:18:53.690000,86.0,135.0,,172.0,False,INTERMEDIATE,1.0,True,Aston Martin,0 days 01:16:09.657000,,4,11.0,,,False,False,2025,1
