Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Year,RoundNumber
0 days 01:29:33.539000,GAS,10,0 days 00:01:47.175000,37.0,1.0,,0 days 01:29:16.003000,0 days 00:00:30.115000,0 days 00:00:23.770000,0 days 00:00:53.290000,0 days 01:28:16.516000,0 days 01:28:40.286000,0 days 01:29:33.576000,273.0,288.0,,294.0,False,MEDIUM,37.0,True,Red Bull Racing,0 days 01:27:46.364000,,1,10.0,,,False,False,2019,1
0 days 01:31:07.690000,GAS,10,0 days 00:01:34.151000,38.0,2.0,0 days 01:29:36.336000,,0 days 00:00:35.943000,0 days 00:00:23.612000,0 days 00:00:34.596000,0 days 01:30:09.519000,0 days 01:30:33.131000,0 days 01:31:07.727000,269.0,283.0,300.0,224.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:29:33.539000,,1,11.0,,,False,False,2019,1
0 days 00:53:49.131000,PER,11,0 days 00:01:50.063000,13.0,1.0,,0 days 00:53:31.147000,0 days 00:00:30.277000,0 days 00:00:23.949000,0 days 00:00:55.837000,0 days 00:52:29.370000,0 days 00:52:53.319000,0 days 00:53:49.156000,269.0,286.0,,299.0,False,SOFT,16.0,False,Racing Point,0 days 00:51:59.068000,,1,16.0,,,False,False,2019,1
0 days 00:55:24.070000,PER,11,0 days 00:01:34.939000,14.0,2.0,0 days 00:53:51.873000,,0 days 00:00:35.962000,0 days 00:00:23.484000,0 days 00:00:35.493000,0 days 00:54:25.118000,0 days 00:54:48.602000,0 days 00:55:24.095000,269.0,286.0,287.0,225.0,False,HARD,1.0,True,Racing Point,0 days 00:53:49.131000,,1,17.0,,,False,False,2019,1
0 days 01:15:46.216000,LEC,16,0 days 00:01:47.729000,28.0,1.0,,0 days 01:15:27.249000,0 days 00:00:29.850000,0 days 00:00:23.913000,0 days 00:00:53.966000,0 days 01:14:28.369000,0 days 01:14:52.282000,0 days 01:15:46.248000,264.0,272.0,,280.0,False,SOFT,31.0,False,Ferrari,0 days 01:13:58.487000,,1,5.0,,,False,False,2019,1
0 days 01:17:19.620000,LEC,16,0 days 00:01:33.404000,29.0,2.0,0 days 01:15:49.014000,,0 days 00:00:35.296000,0 days 00:00:23.279000,0 days 00:00:34.829000,0 days 01:16:21.544000,0 days 01:16:44.823000,0 days 01:17:19.652000,273.0,282.0,277.0,231.0,False,HARD,1.0,True,Ferrari,0 days 01:15:46.216000,,1,5.0,,,False,False,2019,1
0 days 01:14:41.773000,STR,18,0 days 00:01:47.488000,27.0,1.0,,0 days 01:14:22.219000,0 days 00:00:29.981000,0 days 00:00:23.755000,0 days 00:00:53.752000,0 days 01:13:24.283000,0 days 01:13:48.038000,0 days 01:14:41.790000,266.0,280.0,,296.0,False,MEDIUM,27.0,True,Racing Point,0 days 01:12:54.285000,,1,10.0,,,False,False,2019,1
0 days 01:16:15.773000,STR,18,0 days 00:01:34,28.0,2.0,0 days 01:14:44.558000,,0 days 00:00:35.918000,0 days 00:00:23.438000,0 days 00:00:34.644000,0 days 01:15:17.708000,0 days 01:15:41.146000,0 days 01:16:15.790000,269.0,283.0,286.0,225.0,False,HARD,1.0,True,Racing Point,0 days 01:14:41.773000,,1,10.0,,,False,False,2019,1
0 days 00:55:06.960000,MAG,20,0 days 00:01:48.686000,14.0,1.0,,0 days 00:54:47.316000,0 days 00:00:30.201000,0 days 00:00:23.907000,0 days 00:00:54.578000,0 days 00:53:48.513000,0 days 00:54:12.420000,0 days 00:55:06.998000,270.0,281.0,,285.0,False,SOFT,17.0,False,Haas F1 Team,0 days 00:53:18.274000,,1,11.0,,,False,False,2019,1
0 days 00:56:41.981000,MAG,20,0 days 00:01:35.021000,15.0,2.0,0 days 00:55:09.798000,,0 days 00:00:35.888000,0 days 00:00:23.783000,0 days 00:00:35.350000,0 days 00:55:42.886000,0 days 00:56:06.669000,0 days 00:56:42.019000,271.0,279.0,281.0,225.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:55:06.960000,,1,10.0,,,False,False,2019,1
