Year,RoundNumber,EventName,EventDate,Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,TrackStatus,Position,IsAccurate
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,6.0,0 days 00:01:31.558000,1.0,,,0 days 00:00:30.626000,0 days 00:00:24.310000,0 days 00:00:36.622000,269.0,292.0,286.0,293.0,False,ULTRASOFT,5.0,True,2.0,12.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,7.0,0 days 00:01:31.838000,1.0,,,0 days 00:00:30.627000,0 days 00:00:24.431000,0 days 00:00:36.780000,273.0,292.0,286.0,293.0,False,ULTRASOFT,6.0,True,21.0,12.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,8.0,0 days 00:01:30.922000,1.0,,,0 days 00:00:30.448000,0 days 00:00:24.260000,0 days 00:00:36.214000,273.0,290.0,286.0,300.0,True,ULTRASOFT,7.0,True,1.0,12.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,9.0,0 days 00:01:30.859000,1.0,,,0 days 00:00:30.266000,0 days 00:00:24.397000,0 days 00:00:36.196000,271.0,291.0,286.0,301.0,True,ULTRASOFT,8.0,True,12.0,12.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,10.0,0 days 00:01:30.922000,1.0,,,0 days 00:00:30.382000,0 days 00:00:24.312000,0 days 00:00:36.228000,274.0,290.0,287.0,304.0,False,ULTRASOFT,9.0,True,1.0,12.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,11.0,0 days 00:01:30.419000,1.0,,,0 days 00:00:30.029000,0 days 00:00:24.097000,0 days 00:00:36.293000,273.0,293.0,285.0,302.0,True,ULTRASOFT,10.0,True,1.0,12.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,12.0,0 days 00:01:30.876000,1.0,,,0 days 00:00:30.317000,0 days 00:00:24.274000,0 days 00:00:36.285000,273.0,292.0,286.0,301.0,False,ULTRASOFT,11.0,True,1.0,12.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,13.0,0 days 00:01:30.560000,1.0,,,0 days 00:00:30.105000,0 days 00:00:24.208000,0 days 00:00:36.247000,273.0,294.0,287.0,303.0,False,ULTRASOFT,12.0,True,1.0,12.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,14.0,0 days 00:01:30.553000,1.0,,,0 days 00:00:30.262000,0 days 00:00:24.081000,0 days 00:00:36.210000,272.0,295.0,286.0,301.0,False,ULTRASOFT,13.0,True,1.0,12.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,15.0,0 days 00:01:30.511000,1.0,,,0 days 00:00:30.162000,0 days 00:00:24.203000,0 days 00:00:36.146000,273.0,291.0,284.0,301.0,False,ULTRASOFT,14.0,True,1.0,12.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,16.0,0 days 00:01:30.412000,1.0,,,0 days 00:00:30.191000,0 days 00:00:24.012000,0 days 00:00:36.209000,271.0,294.0,285.0,301.0,True,ULTRASOFT,15.0,True,1.0,12.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,17.0,0 days 00:01:30.380000,1.0,,,0 days 00:00:30.333000,0 days 00:00:24.042000,0 days 00:00:36.005000,272.0,293.0,285.0,300.0,True,ULTRASOFT,16.0,True,1.0,12.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,18.0,0 days 00:01:30.280000,1.0,,,0 days 00:00:30.029000,0 days 00:00:24.273000,0 days 00:00:35.978000,272.0,288.0,283.0,301.0,True,ULTRASOFT,17.0,True,1.0,12.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,19.0,0 days 00:01:30.653000,1.0,,,0 days 00:00:30.335000,0 days 00:00:24.228000,0 days 00:00:36.090000,265.0,287.0,282.0,299.0,False,ULTRASOFT,18.0,True,1.0,12.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,20.0,0 days 00:01:30.344000,1.0,,,0 days 00:00:30.141000,0 days 00:00:24.140000,0 days 00:00:36.063000,264.0,289.0,282.0,296.0,False,ULTRASOFT,19.0,True,1.0,12.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,21.0,0 days 00:01:30.665000,1.0,,,0 days 00:00:30.288000,0 days 00:00:24.137000,0 days 00:00:36.240000,264.0,289.0,282.0,297.0,False,ULTRASOFT,20.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,22.0,0 days 00:01:31.254000,1.0,,,0 days 00:00:30.525000,0 days 00:00:24.406000,0 days 00:00:36.323000,266.0,289.0,283.0,296.0,False,ULTRASOFT,21.0,True,1.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,23.0,0 days 00:01:30.241000,1.0,,,0 days 00:00:30.104000,0 days 00:00:24.188000,0 days 00:00:35.949000,270.0,289.0,281.0,296.0,True,ULTRASOFT,22.0,True,12.0,9.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,24.0,0 days 00:01:48.875000,1.0,,0 days 00:43:40.427000,0 days 00:00:30.198000,0 days 00:00:24.283000,0 days 00:00:54.394000,264.0,291.0,,295.0,False,ULTRASOFT,23.0,True,21.0,13.0,False
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,25.0,0 days 00:01:50.397000,2.0,0 days 00:44:03.316000,,0 days 00:00:35.459000,0 days 00:00:23.589000,0 days 00:00:51.349000,268.0,291.0,209.0,225.0,False,SOFT,1.0,True,126.0,11.0,False
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,26.0,0 days 00:02:03.659000,2.0,,,0 days 00:00:41.792000,0 days 00:00:32.622000,0 days 00:00:49.245000,223.0,273.0,249.0,235.0,False,SOFT,2.0,True,6.0,11.0,False
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,27.0,0 days 00:02:04.224000,2.0,,,0 days 00:00:43.403000,0 days 00:00:29.321000,0 days 00:00:51.500000,166.0,151.0,206.0,250.0,False,SOFT,3.0,True,64.0,11.0,False
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,28.0,0 days 00:02:01.772000,2.0,,,0 days 00:00:42.476000,0 days 00:00:29.871000,0 days 00:00:49.425000,247.0,264.0,256.0,233.0,False,SOFT,4.0,True,4.0,11.0,False
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,29.0,0 days 00:01:39.003000,2.0,,,0 days 00:00:34.639000,0 days 00:00:26.603000,0 days 00:00:37.761000,250.0,285.0,272.0,268.0,False,SOFT,5.0,True,4.0,11.0,False
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,30.0,0 days 00:01:50.355000,2.0,,,0 days 00:00:31.272000,0 days 00:00:28.974000,0 days 00:00:50.109000,264.0,289.0,167.0,288.0,False,SOFT,6.0,True,4.0,11.0,False
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,31.0,0 days 00:02:04.778000,2.0,,,0 days 00:00:41.878000,0 days 00:00:35.139000,0 days 00:00:47.761000,106.0,174.0,291.0,240.0,False,SOFT,7.0,True,41.0,11.0,False
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,32.0,0 days 00:01:32.302000,2.0,,,0 days 00:00:31.567000,0 days 00:00:24.423000,0 days 00:00:36.312000,272.0,304.0,288.0,279.0,False,SOFT,8.0,True,1.0,11.0,True
