DriverNumber,FullName,Abbreviation,TeamName,Position,GridPosition,Status,Points,Laps,Year,RoundNumber
28,Brendon Hartley,HAR,Toro Rosso,11.0,16.0,+1 Lap,0.0,70.0,2018,20
55,Carlos Sainz,SAI,Renault,12.0,15.0,+1 Lap,0.0,70.0,2018,20
10,Pierre Gasly,GAS,Toro Rosso,13.0,9.0,+1 Lap,0.0,70.0,2018,20
2,Stoffel Vandoorne,VAN,McLaren,14.0,20.0,+1 Lap,0.0,70.0,2018,20
31,Esteban Ocon,OCO,Racing Point,15.0,18.0,+1 Lap,0.0,70.0,2018,20
35,Sergey Sirotkin,SIR,Williams,16.0,14.0,+2 Laps,0.0,69.0,2018,20
14,Fernando Alonso,ALO,McLaren,17.0,17.0,+2 Laps,0.0,69.0,2018,20
18,Lance Stroll,STR,Williams,18.0,19.0,+2 Laps,0.0,69.0,2018,20
27,Nico Hulkenberg,HUL,Renault,19.0,13.0,Overheating,0.0,32.0,2018,20
9,Marcus Ericsson,ERI,Sauber,20.0,6.0,Collision,0.0,20.0,2018,20
8,Romain Grosjean,GRO,Haas F1 Team,9.0,7.0,+1 Lap,2.0,54.0,2018,21
20,Kevin Magnussen,MAG,Haas F1 Team,10.0,13.0,+1 Lap,1.0,54.0,2018,21
14,Fernando Alonso,ALO,McLaren,11.0,15.0,+1 Lap,0.0,54.0,2018,21
28,Brendon Hartley,HAR,Toro Rosso,12.0,16.0,+1 Lap,0.0,54.0,2018,21
18,Lance Stroll,STR,Williams,13.0,20.0,+1 Lap,0.0,54.0,2018,21
2,Stoffel Vandoorne,VAN,McLaren,14.0,18.0,+1 Lap,0.0,54.0,2018,21
35,Sergey Sirotkin,SIR,Williams,15.0,19.0,+1 Lap,0.0,54.0,2018,21
10,Pierre Gasly,GAS,Toro Rosso,16.0,17.0,Engine,0.0,46.0,2018,21
31,Esteban Ocon,OCO,Racing Point,17.0,9.0,Engine,0.0,44.0,2018,21
9,Marcus Ericsson,ERI,Sauber,18.0,12.0,Power loss,0.0,24.0,2018,21
7,Kimi Räikkönen,RAI,Ferrari,19.0,4.0,Power loss,0.0,6.0,2018,21
27,Nico Hulkenberg,HUL,Renault,20.0,10.0,Collision,0.0,0.0,2018,21
