Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Year,RoundNumber
0 days 02:15:28.653000,RUS,63,0 days 00:01:15.029000,58.0,3.0,,,0 days 00:00:25.848000,0 days 00:00:26.799000,0 days 00:00:22.382000,0 days 02:14:39.513000,0 days 02:15:06.312000,0 days 02:15:28.694000,287.0,271.0,300.0,306.0,True,SOFT,8.0,False,2025,15
0 days 02:16:42.715000,RUS,63,0 days 00:01:14.062000,59.0,3.0,,,0 days 00:00:25.313000,0 days 00:00:26.464000,0 days 00:00:22.285000,0 days 02:15:54.007000,0 days 02:16:20.471000,0 days 02:16:42.756000,286.0,279.0,301.0,305.0,True,SOFT,9.0,False,2025,15
0 days 02:17:56.619000,RUS,63,0 days 00:01:13.904000,60.0,3.0,,,0 days 00:00:25.210000,0 days 00:00:26.582000,0 days 00:00:22.112000,0 days 02:17:07.966000,0 days 02:17:34.548000,0 days 02:17:56.660000,287.0,269.0,302.0,306.0,True,SOFT,10.0,False,2025,15
0 days 02:19:10.596000,RUS,63,0 days 00:01:13.977000,61.0,3.0,,,0 days 00:00:25.211000,0 days 00:00:26.545000,0 days 00:00:22.221000,0 days 02:18:21.871000,0 days 02:18:48.416000,0 days 02:19:10.637000,279.0,270.0,300.0,304.0,False,SOFT,11.0,False,2025,15
0 days 02:20:24.503000,RUS,63,0 days 00:01:13.907000,62.0,3.0,,,0 days 00:00:25.114000,0 days 00:00:26.678000,0 days 00:00:22.115000,0 days 02:19:35.751000,0 days 02:20:02.429000,0 days 02:20:24.544000,281.0,269.0,300.0,307.0,False,SOFT,12.0,False,2025,15
0 days 02:21:38.233000,RUS,63,0 days 00:01:13.730000,63.0,3.0,,,0 days 00:00:25.022000,0 days 00:00:26.582000,0 days 00:00:22.126000,0 days 02:20:49.566000,0 days 02:21:16.148000,0 days 02:21:38.274000,285.0,269.0,300.0,307.0,True,SOFT,13.0,False,2025,15
0 days 02:22:52.024000,RUS,63,0 days 00:01:13.791000,64.0,3.0,,,0 days 00:00:25.041000,0 days 00:00:26.651000,0 days 00:00:22.099000,0 days 02:22:03.315000,0 days 02:22:29.966000,0 days 02:22:52.065000,279.0,269.0,300.0,308.0,False,SOFT,14.0,False,2025,15
0 days 02:24:18.312000,RUS,63,0 days 00:01:26.288000,65.0,3.0,,,0 days 00:00:25.010000,0 days 00:00:28.805000,0 days 00:00:32.473000,0 days 02:23:17.075000,0 days 02:23:45.880000,0 days 02:24:18.353000,286.0,104.0,272.0,302.0,False,SOFT,15.0,False,2025,15
0 days 02:26:10.137000,RUS,63,0 days 00:01:51.825000,66.0,3.0,,,0 days 00:00:34.519000,0 days 00:00:43.925000,0 days 00:00:33.381000,0 days 02:24:52.872000,0 days 02:25:36.797000,0 days 02:26:10.178000,184.0,241.0,261.0,152.0,False,SOFT,16.0,False,2025,15
0 days 02:28:12.134000,RUS,63,0 days 00:02:01.997000,67.0,3.0,,,0 days 00:00:44.981000,0 days 00:00:45.771000,0 days 00:00:31.245000,0 days 02:26:55.159000,0 days 02:27:40.930000,0 days 02:28:12.175000,140.0,238.0,233.0,121.0,False,SOFT,17.0,False,2025,15
0 days 02:30:13.580000,RUS,63,0 days 00:02:01.446000,68.0,3.0,,,0 days 00:00:40.916000,0 days 00:00:43.189000,0 days 00:00:37.341000,0 days 02:28:53.091000,0 days 02:29:36.280000,0 days 02:30:13.621000,137.0,203.0,302.0,197.0,False,SOFT,18.0,False,2025,15
0 days 02:31:27.903000,RUS,63,0 days 00:01:14.323000,69.0,3.0,,,0 days 00:00:25.558000,0 days 00:00:26.401000,0 days 00:00:22.364000,0 days 02:30:39.179000,0 days 02:31:05.580000,0 days 02:31:27.944000,288.0,271.0,301.0,304.0,False,SOFT,19.0,False,2025,15
0 days 02:32:41.631000,RUS,63,0 days 00:01:13.728000,70.0,3.0,,,0 days 00:00:25.076000,0 days 00:00:26.447000,0 days 00:00:22.205000,0 days 02:31:53.020000,0 days 02:32:19.467000,0 days 02:32:41.672000,288.0,270.0,301.0,307.0,True,SOFT,20.0,False,2025,15
0 days 02:33:55.631000,RUS,63,0 days 00:01:14,71.0,3.0,,,0 days 00:00:25.087000,0 days 00:00:26.665000,0 days 00:00:22.248000,0 days 02:33:06.759000,0 days 02:33:33.424000,0 days 02:33:55.672000,287.0,270.0,299.0,307.0,False,SOFT,21.0,False,2025,15
