Time,Driver,DriverNumber,LapNumber,Stint,PitInTime,PitOutTime,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Position,Year,RoundNumber
0 days 01:27:31.964000,VER,1,17.0,1.0,0 days 01:27:30.291000,,SOFT,20.0,False,Red Bull Racing,0 days 01:25:52.068000,1,1.0,2024,1
0 days 01:29:29.818000,VER,1,18.0,2.0,,0 days 01:27:55.379000,HARD,1.0,True,Red Bull Racing,0 days 01:27:31.964000,1,1.0,2024,1
0 days 01:59:49.491000,VER,1,37.0,2.0,0 days 01:59:47.796000,,HARD,20.0,True,Red Bull Racing,0 days 01:58:10.257000,1,1.0,2024,1
0 days 02:01:45.936000,VER,1,38.0,3.0,,0 days 02:00:12.014000,SOFT,1.0,True,Red Bull Racing,0 days 01:59:49.491000,1,1.0,2024,1
0 days 01:19:36.683000,PER,11,12.0,1.0,0 days 01:19:34.991000,,SOFT,15.0,False,Red Bull Racing,0 days 01:17:56.406000,1,3.0,2024,1
0 days 01:21:34.307000,PER,11,13.0,2.0,,0 days 01:19:59.484000,HARD,1.0,True,Red Bull Racing,0 days 01:19:36.683000,1,8.0,2024,1
0 days 01:58:31.852000,PER,11,36.0,2.0,0 days 01:58:30.216000,,HARD,24.0,True,Red Bull Racing,0 days 01:56:52.487000,1,2.0,2024,1
0 days 02:00:27.660000,PER,11,37.0,3.0,,0 days 01:58:54.639000,SOFT,1.0,True,Red Bull Racing,0 days 01:58:31.852000,1,2.0,2024,1
0 days 01:22:52.561000,SAI,55,14.0,1.0,0 days 01:22:50.807000,,SOFT,17.0,False,Ferrari,0 days 01:21:12.808000,1,2.0,2024,1
0 days 01:24:49.786000,SAI,55,15.0,2.0,,0 days 01:23:15.387000,HARD,1.0,True,Ferrari,0 days 01:22:52.561000,1,7.0,2024,1
0 days 01:56:58.352000,SAI,55,35.0,2.0,0 days 01:56:56.614000,,HARD,21.0,True,Ferrari,0 days 01:55:19.078000,1,3.0,2024,1
0 days 01:58:53.972000,SAI,55,36.0,3.0,,0 days 01:57:20.500000,HARD,1.0,True,Ferrari,0 days 01:56:58.352000,1,3.0,2024,1
0 days 01:18:01.623000,LEC,16,11.0,1.0,0 days 01:17:59.892000,,SOFT,14.0,False,Ferrari,0 days 01:16:19.886000,1,6.0,2024,1
0 days 01:19:59.094000,LEC,16,12.0,2.0,,0 days 01:18:23.940000,HARD,1.0,True,Ferrari,0 days 01:18:01.623000,1,13.0,2024,1
0 days 01:55:33.563000,LEC,16,34.0,2.0,0 days 01:55:31.860000,,HARD,23.0,True,Ferrari,0 days 01:53:53.949000,1,4.0,2024,1
0 days 01:57:29.729000,LEC,16,35.0,3.0,,0 days 01:55:55.941000,HARD,1.0,True,Ferrari,0 days 01:55:33.563000,1,6.0,2024,1
0 days 01:17:58.083000,RUS,63,11.0,1.0,0 days 01:17:56.394000,,SOFT,14.0,False,Mercedes,0 days 01:16:17.568000,1,4.0,2024,1
0 days 01:19:56.543000,RUS,63,12.0,2.0,,0 days 01:18:21.160000,HARD,1.0,True,Mercedes,0 days 01:17:58.083000,1,11.0,2024,1
0 days 01:50:41.467000,RUS,63,31.0,2.0,0 days 01:50:39.737000,,HARD,20.0,True,Mercedes,0 days 01:49:02.062000,1,5.0,2024,1
0 days 01:52:38.734000,RUS,63,32.0,3.0,,0 days 01:51:04.687000,HARD,1.0,True,Mercedes,0 days 01:50:41.467000,1,9.0,2024,1
0 days 01:21:20.193000,NOR,4,13.0,1.0,0 days 01:21:18.561000,,SOFT,16.0,False,McLaren,0 days 01:19:39.558000,1,3.0,2024,1
0 days 01:23:17.963000,NOR,4,14.0,2.0,,0 days 01:21:42.671000,HARD,1.0,True,McLaren,0 days 01:21:20.193000,1,9.0,2024,1
0 days 01:53:59.395000,NOR,4,33.0,2.0,0 days 01:53:57.589000,,HARD,20.0,True,McLaren,0 days 01:52:19.769000,1,5.0,2024,1
0 days 01:55:56.293000,NOR,4,34.0,3.0,,0 days 01:54:22.389000,HARD,1.0,True,McLaren,0 days 01:53:59.395000,1,8.0,2024,1
0 days 01:19:46.590000,HAM,44,12.0,1.0,0 days 01:19:44.838000,,SOFT,15.0,False,Mercedes,0 days 01:18:05.701000,1,7.0,2024,1
0 days 01:21:45.235000,HAM,44,13.0,2.0,,0 days 01:20:09.902000,HARD,1.0,True,Mercedes,0 days 01:19:46.590000,1,12.0,2024,1
0 days 01:54:05.765000,HAM,44,33.0,2.0,0 days 01:54:04.064000,,HARD,21.0,True,Mercedes,0 days 01:52:26.069000,1,7.0,2024,1
0 days 01:56:00.739000,HAM,44,34.0,3.0,,0 days 01:54:28.183000,HARD,1.0,True,Mercedes,0 days 01:54:05.765000,1,9.0,2024,1
0 days 01:19:44.324000,PIA,81,12.0,1.0,0 days 01:19:42.605000,,SOFT,15.0,False,McLaren,0 days 01:18:03.585000,1,5.0,2024,1
0 days 01:21:43.013000,PIA,81,13.0,2.0,,0 days 01:20:08.021000,HARD,1.0,True,McLaren,0 days 01:19:44.324000,1,11.0,2024,1
0 days 01:55:40.187000,PIA,81,34.0,2.0,0 days 01:55:38.558000,,HARD,22.0,True,McLaren,0 days 01:54:00.976000,1,5.0,2024,1
0 days 01:57:39.890000,PIA,81,35.0,3.0,,0 days 01:56:03.352000,HARD,1.0,True,McLaren,0 days 01:55:40.187000,1,9.0,2024,1
0 days 01:24:43.800000,ALO,14,15.0,1.0,0 days 01:24:42.030000,,SOFT,18.0,False,Aston Martin,0 days 01:23:02.699000,1,2.0,2024,1
0 days 01:26:42.614000,ALO,14,16.0,2.0,,0 days 01:25:06.892000,HARD,1.0,True,Aston Martin,0 days 01:24:43.800000,1,10.0,2024,1
