Time,Driver,DriverNumber,LapNumber,Stint,PitInTime,PitOutTime,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Position,Year,RoundNumber
0 days 01:40:24.145000,ZHO,24,12.0,2.0,,0 days 01:38:57.496000,HARD,4.0,False,Alfa Romeo,0 days 01:38:36.908000,1,18.0,2023,14
0 days 02:11:02.006000,ZHO,24,33.0,2.0,0 days 02:10:58.209000,,HARD,25.0,False,Alfa Romeo,0 days 02:09:29.954000,1,14.0,2023,14
0 days 02:12:49.968000,ZHO,24,34.0,3.0,,0 days 02:11:24.131000,MEDIUM,1.0,True,Alfa Romeo,0 days 02:11:02.006000,1,17.0,2023,14
0 days 01:42:59.660000,HUL,27,14.0,1.0,0 days 01:42:55.868000,,MEDIUM,17.0,False,Haas F1 Team,0 days 01:41:27.002000,1,13.0,2023,14
0 days 01:44:49.275000,HUL,27,15.0,2.0,,0 days 01:43:21.946000,HARD,6.0,False,Haas F1 Team,0 days 01:42:59.660000,1,17.0,2023,14
0 days 02:19:55.698000,HUL,27,39.0,2.0,0 days 02:19:51.890000,,HARD,30.0,False,Haas F1 Team,0 days 02:18:23.192000,1,14.0,2023,14
0 days 02:21:42.068000,HUL,27,40.0,3.0,,0 days 02:20:16.218000,MEDIUM,4.0,False,Haas F1 Team,0 days 02:19:55.698000,1,17.0,2023,14
0 days 01:57:48.404000,OCO,31,24.0,1.0,0 days 01:57:44.608000,,MEDIUM,24.0,True,Alpine,0 days 01:56:14.905000,1,12.0,2023,14
0 days 01:59:35.782000,OCO,31,25.0,2.0,,0 days 01:58:08.843000,HARD,4.0,False,Alpine,0 days 01:57:48.404000,1,19.0,2023,14
0 days 02:20:16.852000,OCO,31,39.0,2.0,0 days 02:20:13.093000,,HARD,18.0,False,Alpine,0 days 02:18:30.248000,1,18.0,2023,14
0 days 01:54:29.991000,NOR,4,22.0,1.0,0 days 01:54:26.173000,,MEDIUM,22.0,True,McLaren,0 days 01:52:58.344000,1,4.0,2023,14
0 days 01:56:16.273000,NOR,4,23.0,2.0,,0 days 01:54:49.876000,HARD,5.0,False,McLaren,0 days 01:54:29.991000,1,11.0,2023,14
0 days 01:41:30.256000,LAW,40,13.0,1.0,0 days 01:41:26.463000,,MEDIUM,16.0,False,AlphaTauri,0 days 01:39:58.203000,1,15.0,2023,14
0 days 01:43:17.600000,LAW,40,14.0,2.0,,0 days 01:41:50.869000,HARD,4.0,False,AlphaTauri,0 days 01:41:30.256000,1,16.0,2023,14
0 days 02:10:59.476000,LAW,40,33.0,2.0,0 days 02:10:55.631000,,HARD,23.0,False,AlphaTauri,0 days 02:09:27.633000,1,12.0,2023,14
0 days 02:12:46.186000,LAW,40,34.0,3.0,,0 days 02:11:19.912000,MEDIUM,4.0,False,AlphaTauri,0 days 02:10:59.476000,1,16.0,2023,14
0 days 02:01:49.221000,HAM,44,27.0,1.0,0 days 02:01:45.387000,,HARD,30.0,False,Mercedes,0 days 02:00:15.993000,1,5.0,2023,14
0 days 02:03:35.199000,HAM,44,28.0,2.0,,0 days 02:02:09.621000,MEDIUM,1.0,True,Mercedes,0 days 02:01:49.221000,1,10.0,2023,14
0 days 01:49:55.293000,SAI,55,19.0,1.0,0 days 01:49:51.504000,,MEDIUM,19.0,True,Ferrari,0 days 01:48:23.381000,1,4.0,2023,14
0 days 01:51:42.055000,SAI,55,20.0,2.0,,0 days 01:50:16.676000,HARD,1.0,True,Ferrari,0 days 01:49:55.293000,1,8.0,2023,14
0 days 01:49:59.273000,RUS,63,19.0,1.0,0 days 01:49:55.551000,,MEDIUM,19.0,True,Mercedes,0 days 01:48:27.388000,1,5.0,2023,14
0 days 01:51:44.583000,RUS,63,20.0,2.0,,0 days 01:50:19.692000,HARD,4.0,False,Mercedes,0 days 01:49:59.273000,1,10.0,2023,14
0 days 01:59:09.271000,BOT,77,25.0,1.0,0 days 01:59:05.467000,,HARD,28.0,False,Alfa Romeo,0 days 01:57:36.457000,1,9.0,2023,14
0 days 02:00:55.846000,BOT,77,26.0,2.0,,0 days 01:59:30.123000,MEDIUM,4.0,False,Alfa Romeo,0 days 01:59:09.271000,1,16.0,2023,14
0 days 01:55:56.800000,PIA,81,23.0,1.0,0 days 01:55:52.969000,,MEDIUM,23.0,True,McLaren,0 days 01:54:24.934000,1,3.0,2023,14
0 days 01:57:43.654000,PIA,81,24.0,2.0,,0 days 01:56:17.109000,HARD,6.0,False,McLaren,0 days 01:55:56.800000,1,10.0,2023,14
0 days 02:22:24.592000,PIA,81,41.0,2.0,0 days 02:22:20.779000,,HARD,23.0,False,McLaren,0 days 02:20:50.072000,1,10.0,2023,14
0 days 02:24:18.185000,PIA,81,42.0,3.0,,0 days 02:22:52.576000,MEDIUM,4.0,False,McLaren,0 days 02:22:24.592000,1,14.0,2023,14
0 days 02:12:29.174000,VER,1,40.0,1.0,0 days 02:12:21.491000,,HARD,40.0,True,Red Bull Racing,0 days 02:10:40.366000,1,6.0,2023,15
0 days 02:14:28.422000,VER,1,41.0,2.0,,0 days 02:12:51.162000,MEDIUM,1.0,True,Red Bull Racing,0 days 02:12:29.174000,1,15.0,2023,15
0 days 01:37:01.748000,GAS,10,20.0,1.0,0 days 01:36:54.015000,,MEDIUM,20.0,True,Alpine,0 days 01:34:53.027000,14,12.0,2023,15
0 days 01:39:51.423000,GAS,10,21.0,2.0,,0 days 01:37:25.812000,HARD,1.0,True,Alpine,0 days 01:37:01.748000,4,12.0,2023,15
0 days 02:11:01.246000,PER,11,39.0,1.0,0 days 02:10:53.586000,,HARD,39.0,True,Red Bull Racing,0 days 02:09:08.159000,1,15.0,2023,15
0 days 02:13:00.583000,PER,11,40.0,2.0,,0 days 02:11:22.570000,MEDIUM,1.0,True,Red Bull Racing,0 days 02:11:01.246000,1,18.0,2023,15
0 days 01:36:47.627000,ALO,14,20.0,1.0,0 days 01:36:39.984000,,MEDIUM,20.0,True,Aston Martin,0 days 01:34:43.327000,14,7.0,2023,15
0 days 01:39:44.836000,ALO,14,21.0,2.0,,0 days 01:37:10.624000,HARD,1.0,True,Aston Martin,0 days 01:36:47.627000,4,8.0,2023,15
0 days 02:20:06.910000,ALO,14,44.0,2.0,0 days 02:19:59.298000,,HARD,24.0,True,Aston Martin,0 days 02:17:42.150000,6,9.0,2023,15
0 days 02:22:32.991000,ALO,14,45.0,3.0,,0 days 02:20:51.891000,SOFT,3.0,False,Aston Martin,0 days 02:20:06.910000,671,15.0,2023,15
0 days 01:36:36.372000,LEC,16,20.0,1.0,0 days 01:36:28.562000,,SOFT,23.0,False,Ferrari,0 days 01:34:34.748000,14,2.0,2023,15
0 days 01:39:41.129000,LEC,16,21.0,2.0,,0 days 01:37:01.453000,HARD,1.0,True,Ferrari,0 days 01:36:36.372000,4,6.0,2023,15
0 days 01:35:50.621000,SAR,2,19.0,1.0,0 days 01:35:42.907000,,MEDIUM,19.0,True,Williams,0 days 01:33:20.976000,124,18.0,2023,15
0 days 01:39:01.535000,SAR,2,20.0,2.0,,0 days 01:36:46.422000,HARD,1.0,True,Williams,0 days 01:35:50.621000,4,18.0,2023,15
0 days 02:18:25.428000,SAR,2,43.0,2.0,0 days 02:18:17.659000,,HARD,24.0,True,Williams,0 days 02:16:17.020000,26,16.0,2023,15
0 days 02:20:58.675000,SAR,2,44.0,3.0,,0 days 02:18:48.674000,MEDIUM,1.0,True,Williams,0 days 02:18:25.428000,671,17.0,2023,15
0 days 01:36:58.132000,MAG,20,20.0,1.0,0 days 01:36:50.437000,,MEDIUM,20.0,True,Haas F1 Team,0 days 01:34:51.596000,14,10.0,2023,15
0 days 01:39:49.671000,MAG,20,21.0,2.0,,0 days 01:37:21.874000,HARD,1.0,True,Haas F1 Team,0 days 01:36:58.132000,4,11.0,2023,15
0 days 02:18:11.766000,MAG,20,43.0,2.0,0 days 02:18:04.143000,,HARD,23.0,True,Haas F1 Team,0 days 02:16:05.764000,126,14.0,2023,15
0 days 02:20:48.904000,MAG,20,44.0,3.0,,0 days 02:18:37.096000,SOFT,4.0,False,Haas F1 Team,0 days 02:18:11.766000,671,15.0,2023,15
0 days 01:37:07.122000,ALB,23,20.0,1.0,0 days 01:36:59.390000,,MEDIUM,20.0,True,Williams,0 days 01:34:58.523000,14,15.0,2023,15
0 days 01:39:59.366000,ALB,23,21.0,2.0,,0 days 01:37:29.515000,HARD,1.0,True,Williams,0 days 01:37:07.122000,4,16.0,2023,15
0 days 02:17:59.356000,ALB,23,43.0,2.0,0 days 02:17:51.628000,,HARD,23.0,True,Williams,0 days 02:15:58.427000,126,12.0,2023,15
0 days 02:20:34.339000,ALB,23,44.0,3.0,,0 days 02:18:21.409000,MEDIUM,1.0,True,Williams,0 days 02:17:59.356000,67,13.0,2023,15
0 days 01:04:39.448000,ZHO,24,1.0,1.0,,0 days 01:02:54.507000,SOFT,1.0,True,Alfa Romeo,0 days 01:02:44.148000,12,18.0,2023,15
0 days 01:06:29.417000,ZHO,24,2.0,1.0,0 days 01:06:21.630000,,SOFT,2.0,True,Alfa Romeo,0 days 01:04:39.448000,21,18.0,2023,15
0 days 01:08:32.133000,ZHO,24,3.0,2.0,,0 days 01:06:51.630000,HARD,1.0,True,Alfa Romeo,0 days 01:06:29.417000,1,18.0,2023,15
0 days 01:37:38.145000,ZHO,24,20.0,2.0,0 days 01:37:30.327000,,HARD,18.0,True,Alfa Romeo,0 days 01:35:21.451000,14,17.0,2023,15
0 days 01:40:14.406000,ZHO,24,21.0,3.0,,0 days 01:38:01.014000,MEDIUM,1.0,True,Alfa Romeo,0 days 01:37:38.145000,4,17.0,2023,15
0 days 01:37:01.197000,HUL,27,20.0,1.0,0 days 01:36:53.421000,,MEDIUM,20.0,True,Haas F1 Team,0 days 01:34:52.518000,14,11.0,2023,15
0 days 01:39:57.024000,HUL,27,21.0,2.0,,0 days 01:37:28.905000,HARD,1.0,True,Haas F1 Team,0 days 01:37:01.197000,4,15.0,2023,15
0 days 01:36:50.895000,OCO,31,20.0,1.0,0 days 01:36:43.172000,,MEDIUM,20.0,True,Alpine,0 days 01:34:45.008000,14,8.0,2023,15
0 days 01:39:47.185000,OCO,31,21.0,2.0,,0 days 01:37:12.906000,HARD,1.0,True,Alpine,0 days 01:36:50.895000,4,9.0,2023,15
0 days 01:36:39.046000,NOR,4,20.0,1.0,0 days 01:36:31.281000,,MEDIUM,20.0,True,McLaren,0 days 01:34:37.888000,14,4.0,2023,15
0 days 01:39:40.326000,NOR,4,21.0,2.0,,0 days 01:37:00.750000,HARD,1.0,True,McLaren,0 days 01:36:39.046000,4,5.0,2023,15
0 days 01:37:03.531000,LAW,40,20.0,1.0,0 days 01:36:55.796000,,MEDIUM,20.0,True,AlphaTauri,0 days 01:34:55.076000,14,13.0,2023,15
0 days 01:39:55.523000,LAW,40,21.0,2.0,,0 days 01:37:28.124000,HARD,1.0,True,AlphaTauri,0 days 01:37:03.531000,4,14.0,2023,15
0 days 01:36:41.539000,HAM,44,20.0,1.0,0 days 01:36:33.750000,,MEDIUM,20.0,True,Mercedes,0 days 01:34:39.724000,14,5.0,2023,15
0 days 01:39:43.340000,HAM,44,21.0,2.0,,0 days 01:37:06.359000,HARD,1.0,True,Mercedes,0 days 01:36:41.539000,4,7.0,2023,15
0 days 02:19:32.060000,HAM,44,44.0,2.0,0 days 02:19:24.205000,,HARD,24.0,True,Mercedes,0 days 02:17:06.344000,6,5.0,2023,15
0 days 02:21:45.666000,HAM,44,45.0,3.0,,0 days 02:19:57.767000,MEDIUM,1.0,True,Mercedes,0 days 02:19:32.060000,671,5.0,2023,15
