Time,Driver,DriverNumber,LapNumber,Stint,PitInTime,PitOutTime,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Position,Year,RoundNumber
0 days 01:15:49.358000,VER,1,2.0,1.0,0 days 01:15:38.205000,,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 01:13:00.002000,4,2.0,2025,1
0 days 01:18:31.526000,VER,1,3.0,2.0,0 days 01:18:20.223000,0 days 01:15:51.658000,INTERMEDIATE,3.0,False,Red Bull Racing,0 days 01:15:49.358000,4,2.0,2025,1
0 days 01:21:07.226000,VER,1,4.0,3.0,0 days 01:20:56.543000,0 days 01:18:34.029000,INTERMEDIATE,4.0,False,Red Bull Racing,0 days 01:18:31.526000,4,2.0,2025,1
0 days 01:23:30.835000,VER,1,5.0,4.0,,0 days 01:21:09.534000,INTERMEDIATE,5.0,False,Red Bull Racing,0 days 01:21:07.226000,4,2.0,2025,1
0 days 02:09:41.123000,VER,1,34.0,4.0,0 days 02:09:24.559000,,INTERMEDIATE,34.0,False,Red Bull Racing,0 days 02:07:32.525000,24,3.0,2025,1
0 days 02:11:45.631000,VER,1,35.0,5.0,,0 days 02:09:43.218000,MEDIUM,1.0,True,Red Bull Racing,0 days 02:09:41.123000,4,3.0,2025,1
0 days 02:32:59.592000,VER,1,46.0,5.0,0 days 02:32:42.968000,,MEDIUM,12.0,True,Red Bull Racing,0 days 02:31:06.986000,1,5.0,2025,1
0 days 02:35:06.805000,VER,1,47.0,6.0,,0 days 02:33:01.788000,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 02:32:59.592000,124,2.0,2025,1
0 days 01:16:06.103000,GAS,10,2.0,1.0,0 days 01:15:53.611000,,INTERMEDIATE,2.0,True,Alpine,0 days 01:13:14.728000,4,9.0,2025,1
0 days 01:18:49.068000,GAS,10,3.0,2.0,0 days 01:18:36.076000,0 days 01:16:08.591000,INTERMEDIATE,3.0,False,Alpine,0 days 01:16:06.103000,4,9.0,2025,1
0 days 01:21:23.515000,GAS,10,4.0,3.0,0 days 01:21:12.398000,0 days 01:18:51.914000,INTERMEDIATE,4.0,False,Alpine,0 days 01:18:49.068000,4,9.0,2025,1
0 days 01:23:44.875000,GAS,10,5.0,4.0,,0 days 01:21:27.130000,INTERMEDIATE,5.0,False,Alpine,0 days 01:21:23.515000,4,9.0,2025,1
0 days 02:08:35.425000,GAS,10,33.0,4.0,0 days 02:08:17.990000,,INTERMEDIATE,33.0,False,Alpine,0 days 02:06:44.125000,124,9.0,2025,1
0 days 02:11:00.474000,GAS,10,34.0,5.0,,0 days 02:08:37.599000,HARD,1.0,True,Alpine,0 days 02:08:35.425000,4,9.0,2025,1
0 days 02:33:12.621000,GAS,10,46.0,5.0,0 days 02:32:55.194000,,HARD,13.0,True,Alpine,0 days 02:31:16.552000,1,11.0,2025,1
0 days 02:35:19.361000,GAS,10,47.0,6.0,,0 days 02:33:14.929000,INTERMEDIATE,1.0,True,Alpine,0 days 02:33:12.621000,124,8.0,2025,1
0 days 01:16:12.898000,ANT,12,2.0,1.0,0 days 01:16:01.429000,,INTERMEDIATE,2.0,True,Mercedes,0 days 01:13:22.976000,4,13.0,2025,1
0 days 01:18:57.575000,ANT,12,3.0,2.0,0 days 01:18:43.529000,0 days 01:16:16.265000,INTERMEDIATE,3.0,False,Mercedes,0 days 01:16:12.898000,4,13.0,2025,1
0 days 01:21:32.097000,ANT,12,4.0,3.0,0 days 01:21:21.148000,0 days 01:18:59.964000,INTERMEDIATE,4.0,False,Mercedes,0 days 01:18:57.575000,4,13.0,2025,1
