Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,Season,Round,EventName
2021-03-28 16:21:33,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 19:21:32,,BLUE,Driver,,63,45.0,2021,1,Bahrain Grand Prix
2021-03-28 16:22:03,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 19:22:02,,BLUE,Driver,,47,46.0,2021,1,Bahrain Grand Prix
2021-03-28 16:22:51,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 19:22:50,,BLUE,Driver,,31,46.0,2021,1,Bahrain Grand Prix
2021-03-28 16:23:10,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 19:23:10,,BLUE,Driver,,6,46.0,2021,1,Bahrain Grand Prix
2021-03-28 16:24:10,Flag,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 19:24:09,,BLUE,Driver,,5,47.0,2021,1,Bahrain Grand Prix
2021-03-28 16:24:41,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 19:24:40,,BLUE,Driver,,31,47.0,2021,1,Bahrain Grand Prix
2021-03-28 16:24:42,Other,TURN 1 INCIDENT INVOLVING CARS 5 (VET) AND 31 (OCO) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,47.0,2021,1,Bahrain Grand Prix
2021-03-28 16:25:09,Flag,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 19:25:08,,BLUE,Driver,,5,48.0,2021,1,Bahrain Grand Prix
2021-03-28 16:25:31,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 19:25:30,,BLUE,Driver,,31,48.0,2021,1,Bahrain Grand Prix
2021-03-28 16:25:48,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 19:25:48,,BLUE,Driver,,47,48.0,2021,1,Bahrain Grand Prix
2021-03-28 16:26:28,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 19:26:27,,BLUE,Driver,,6,48.0,2021,1,Bahrain Grand Prix
2021-03-28 16:27:34,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 19:27:33,,BLUE,Driver,,6,49.0,2021,1,Bahrain Grand Prix
2021-03-28 16:30:03,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 19:30:02,,BLUE,Driver,,47,51.0,2021,1,Bahrain Grand Prix
2021-03-28 16:30:36,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 19:30:35,,BLUE,Driver,,6,51.0,2021,1,Bahrain Grand Prix
2021-03-28 16:31:14,Other,10 SECOND TIME PENALTY FOR CAR 5 (VET) - CAUSING A COLLISION,,,,,,51.0,2021,1,Bahrain Grand Prix
2021-03-28 16:31:26,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 19:31:26,,BLUE,Driver,,47,52.0,2021,1,Bahrain Grand Prix
2021-03-28 16:32:04,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 19:32:04,,BLUE,Driver,,6,52.0,2021,1,Bahrain Grand Prix
2021-03-28 16:32:28,Flag,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 19:32:28,,BLUE,Driver,,5,52.0,2021,1,Bahrain Grand Prix
2021-03-28 16:32:29,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 19:32:29,,BLUE,Driver,,6,52.0,2021,1,Bahrain Grand Prix
2021-03-28 16:33:02,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 19:33:01,,BLUE,Driver,,99,53.0,2021,1,Bahrain Grand Prix
2021-03-28 16:35:42,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 19:35:41,,BLUE,Driver,,63,54.0,2021,1,Bahrain Grand Prix
2021-03-28 16:39:12,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,56.0,2021,1,Bahrain Grand Prix
