Time,Driver,DriverNumber,LapNumber,Stint,PitOutTime,PitInTime,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Season,Round,EventName
0 days 01:25:45.230000,VER,1,14.0,1.0,,0 days 01:25:43.479000,SOFT,17.0,False,Red Bull Racing,1,2.0,2022,1,Bahrain Grand Prix
0 days 01:27:42.639000,VER,1,15.0,2.0,0 days 01:26:08.393000,,SOFT,1.0,True,Red Bull Racing,12,4.0,2022,1,Bahrain Grand Prix
0 days 01:52:19.022000,VER,1,30.0,2.0,,0 days 01:52:17.298000,SOFT,16.0,True,Red Bull Racing,1,2.0,2022,1,Bahrain Grand Prix
0 days 01:54:16.261000,VER,1,31.0,3.0,0 days 01:52:42.243000,,MEDIUM,1.0,True,Red Bull Racing,1,4.0,2022,1,Bahrain Grand Prix
0 days 02:13:42.519000,VER,1,43.0,3.0,,0 days 02:13:40.852000,MEDIUM,13.0,True,Red Bull Racing,1,2.0,2022,1,Bahrain Grand Prix
0 days 02:15:39.761000,VER,1,44.0,4.0,0 days 02:14:05.204000,,SOFT,4.0,False,Red Bull Racing,1,3.0,2022,1,Bahrain Grand Prix
0 days 02:35:52.854000,VER,1,54.0,4.0,,0 days 02:35:48.693000,SOFT,14.0,False,Red Bull Racing,1,13.0,2022,1,Bahrain Grand Prix
0 days 01:26:11.031000,GAS,10,14.0,1.0,,0 days 01:26:09.339000,SOFT,17.0,False,AlphaTauri,12,7.0,2022,1,Bahrain Grand Prix
0 days 01:28:12.428000,GAS,10,15.0,2.0,0 days 01:26:33.917000,,MEDIUM,1.0,True,AlphaTauri,1,12.0,2022,1,Bahrain Grand Prix
0 days 01:56:25.585000,GAS,10,32.0,2.0,,0 days 01:56:23.860000,MEDIUM,18.0,True,AlphaTauri,1,8.0,2022,1,Bahrain Grand Prix
0 days 01:58:26.393000,GAS,10,33.0,3.0,0 days 01:56:50.023000,,HARD,1.0,True,AlphaTauri,1,10.0,2022,1,Bahrain Grand Prix
0 days 01:27:34.749000,PER,11,15.0,1.0,,0 days 01:27:33.086000,SOFT,18.0,False,Red Bull Racing,21,2.0,2022,1,Bahrain Grand Prix
0 days 01:29:33.607000,PER,11,16.0,2.0,0 days 01:27:58.089000,,MEDIUM,1.0,True,Red Bull Racing,1,4.0,2022,1,Bahrain Grand Prix
0 days 01:57:26.068000,PER,11,33.0,2.0,,0 days 01:57:24.378000,MEDIUM,18.0,True,Red Bull Racing,1,2.0,2022,1,Bahrain Grand Prix
0 days 01:59:23.124000,PER,11,34.0,3.0,0 days 01:57:48.527000,,SOFT,4.0,False,Red Bull Racing,1,4.0,2022,1,Bahrain Grand Prix
0 days 02:13:59.098000,PER,11,43.0,3.0,,0 days 02:13:57.416000,SOFT,13.0,False,Red Bull Racing,1,4.0,2022,1,Bahrain Grand Prix
0 days 02:15:55.619000,PER,11,44.0,4.0,0 days 02:14:22.333000,,SOFT,4.0,False,Red Bull Racing,1,5.0,2022,1,Bahrain Grand Prix
0 days 01:21:12.916000,ALO,14,11.0,1.0,,0 days 01:21:11.171000,SOFT,14.0,False,Alpine,1,11.0,2022,1,Bahrain Grand Prix
0 days 01:23:12.969000,ALO,14,12.0,2.0,0 days 01:21:36.557000,,MEDIUM,1.0,True,Alpine,1,20.0,2022,1,Bahrain Grand Prix
0 days 01:44:55.298000,ALO,14,25.0,2.0,,0 days 01:44:53.550000,MEDIUM,14.0,True,Alpine,1,10.0,2022,1,Bahrain Grand Prix
0 days 01:46:56.220000,ALO,14,26.0,3.0,0 days 01:45:18.506000,,HARD,1.0,True,Alpine,1,14.0,2022,1,Bahrain Grand Prix
0 days 02:13:28.580000,ALO,14,42.0,3.0,,0 days 02:13:26.856000,HARD,17.0,True,Alpine,1,12.0,2022,1,Bahrain Grand Prix
0 days 02:15:25.946000,ALO,14,43.0,4.0,0 days 02:13:51.395000,,SOFT,1.0,True,Alpine,1,14.0,2022,1,Bahrain Grand Prix
0 days 01:27:21.123000,LEC,16,15.0,1.0,,0 days 01:27:19.419000,SOFT,15.0,True,Ferrari,12,1.0,2022,1,Bahrain Grand Prix
0 days 01:29:18.783000,LEC,16,16.0,2.0,0 days 01:27:44.452000,,SOFT,4.0,False,Ferrari,1,1.0,2022,1,Bahrain Grand Prix
0 days 01:53:54.207000,LEC,16,31.0,2.0,,0 days 01:53:52.515000,SOFT,19.0,False,Ferrari,1,1.0,2022,1,Bahrain Grand Prix
0 days 01:55:50.532000,LEC,16,32.0,3.0,0 days 01:54:17.028000,,MEDIUM,1.0,True,Ferrari,1,3.0,2022,1,Bahrain Grand Prix
0 days 02:18:55.202000,LEC,16,46.0,3.0,,0 days 02:18:53.486000,MEDIUM,15.0,True,Ferrari,164,1.0,2022,1,Bahrain Grand Prix
0 days 02:21:39.087000,LEC,16,47.0,4.0,0 days 02:19:18.088000,,SOFT,4.0,False,Ferrari,4,1.0,2022,1,Bahrain Grand Prix
0 days 01:33:20.452000,STR,18,18.0,1.0,,0 days 01:33:18.713000,SOFT,18.0,True,Aston Martin,1,12.0,2022,1,Bahrain Grand Prix
0 days 01:35:21.103000,STR,18,19.0,2.0,0 days 01:33:44.474000,,SOFT,1.0,True,Aston Martin,1,19.0,2022,1,Bahrain Grand Prix
0 days 02:07:06.704000,STR,18,38.0,2.0,,0 days 02:07:04.987000,SOFT,20.0,True,Aston Martin,1,14.0,2022,1,Bahrain Grand Prix
0 days 02:09:08.218000,STR,18,39.0,3.0,0 days 02:07:31.988000,,MEDIUM,1.0,True,Aston Martin,1,16.0,2022,1,Bahrain Grand Prix
0 days 02:19:34.208000,STR,18,45.0,3.0,,0 days 02:19:32.487000,MEDIUM,7.0,True,Aston Martin,64,14.0,2022,1,Bahrain Grand Prix
0 days 02:22:03.472000,STR,18,46.0,4.0,0 days 02:19:57.520000,,SOFT,1.0,True,Aston Martin,4,15.0,2022,1,Bahrain Grand Prix
0 days 01:26:09.721000,MAG,20,14.0,1.0,,0 days 01:26:08.020000,SOFT,14.0,True,Haas F1 Team,12,6.0,2022,1,Bahrain Grand Prix
