Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,Year,RoundNumber
2022-03-20 16:18:20,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,46,2022,1
2022-03-20 16:18:40,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,46,2022,1
2022-03-20 16:26:11,Other,"LAPPED CARS MAY NOW OVERTAKE THE SAFETY CAR: 18, 23, 3, 4, 6, 27",,,,,,49,2022,1
2022-03-20 16:28:00,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,50,2022,1
2022-03-27 17:28:33,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,16,2022,2
2022-03-27 17:28:52,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,16,2022,2
2022-03-27 17:34:43,Other,INCIDENT INVOLVING CARS 55 (SAI) AND 11 (PER) NOTED - SAFETY CAR INFRINGEMENT,,,,,,19,2022,2
2022-03-27 17:37:41,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,20,2022,2
2022-03-27 17:54:08,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 55 (SAI) AND 11 (PER) REVIEWED NO FURTHER INVESTIGATION - SAFETY CAR INFRINGEMENT,,,,,,30,2022,2
2022-03-27 18:07:21,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,38,2022,2
2022-03-27 18:12:24,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,41,2022,2
2022-04-10 05:06:48,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,3,2022,3
2022-04-10 05:07:34,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,3,2022,3
2022-04-10 05:12:29,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,6,2022,3
2022-04-10 05:38:40,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,23,2022,3
2022-04-10 05:44:53,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,26,2022,3
2022-04-10 05:49:13,Other,INCIDENT INVOLVING CARS 47 (MSC) AND 22 (TSU) AND 10 (GAS) NOTED - SAFETY CAR INFRINGEMENT,,,,,,28,2022,3
2022-04-10 05:58:59,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 47 (MSC) AND 22 (TSU) AND 10 (GAS) WILL BE INVESTIGATED AFTER THE RACE - SAFETY CAR INFRINGEMENT,,,,,,35,2022,3
2022-04-10 06:03:58,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,39,2022,3
2022-04-10 06:05:42,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,40,2022,3
2022-04-24 13:04:14,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1,2022,4
2022-04-24 13:09:49,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,4,2022,4
2022-05-08 20:36:28,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,41,2022,5
2022-05-08 20:37:50,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,41,2022,5
